workbook,sheet,plant,year,month,monthNo,brokerVolume,farmerVolume,regularVolume
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Feb,2,11867.5,2759.642,14627.142
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Mar,3,9256.1,4837.228,14093.328
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Apr,4,10871.59,1184.998,12056.588
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,May,5,20050.11,2212.385,22262.495
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Jun,6,,,0
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Jul,7,,,0
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Aug,8,,,0
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Sep,9,,,0
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Oct,10,,,0
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Nov,11,,,0
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Dec,12,,,0
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Jan,1,14173.24,13789.06,27962.3
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Feb,2,14995.23,12347.84,27343.07
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Mar,3,21276.58,10268.74,31545.32
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Apr,4,17681.06,5512.96,23194.02
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,May,5,23590.38,4115.23,27705.61
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Jun,6,12280.49,10308.22,22588.71
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Jul,7,21211.86,9026.44,30238.3
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Aug,8,22818.04,4186.83,27004.87
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Sep,9,16147.07,9357.63,25504.7
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Oct,10,19033.12,13708.45,32741.57
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Nov,11,19686.59,12918.15,32604.74
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2023,Dec,12,16308.68,13250.31,29558.99
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Jan,1,16859.1,15148.69,32007.79
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Feb,2,17095.34,15084.58,32179.92
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Mar,3,17125.41,17245.09,34370.5
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Apr,4,14262.38,12594.11,26856.49
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,May,5,33128.91,7438.85,40567.76
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Jun,6,30811.93,9476.56,40288.49
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Jul,7,33107.6,11604.03,44711.63
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Aug,8,34605.26,7320.74,41926
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Sep,9,26520.05,10751.96,37272.01
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Oct,10,24221.71,14704.11,38925.82
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Nov,11,20953.06,14818.9,35771.96
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2024,Dec,12,18352.89,11715.65,30068.54
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Jan,1,15668.23,13752.61,29420.84
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Feb,2,19455.57,15065.82,34521.39
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Mar,3,22656.97,17764.72,40421.69
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Apr,4,12424.52,11848.37,24272.89
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,May,5,31843.21,13529.1,45372.31
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Jun,6,25895.41,17178.17,43073.58
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Jul,7,40165.47,3824.3,43989.77
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Aug,8,34863.57,1047.99,35911.56
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Sep,9,24435.78,3171.55,27607.33
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Oct,10,22552.25,8548.18,31100.43
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Nov,11,28558.36,6954.98,35513.34
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2025,Dec,12,22053.62,5352.13,27405.75
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Jan,1,24915.38,5038.93,29954.31
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Feb,2,25166.82,5158.76,30325.58
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Mar,3,27727.55,5799.6,33527.15
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Apr,4,17268.31,842.86,18111.17
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,May,5,31301.5,1478.18,32779.68
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Jun,6,0.01,0.01,0.02
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Jul,7,0.01,0.01,0.02
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Aug,8,0.01,0.01,0.02
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Sep,9,0.01,0.01,0.02
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Oct,10,0.01,0.01,0.02
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Nov,11,0.01,0.01,0.02
SK Root Sourcing report App.xlsx,VolFarmerContri.SK,Sikhiu,2026,Dec,12,0.01,0.01,0.02
